Rxn name,hp_v1_tp1,hp_v1_tp2,hp_v1_tp3,hp_v1_tp4,hp_v1_tp5,hp_v2_tp1,hp_v2_tp2,hp_v2_tp3,hp_v2_tp4,hp_v2_tp5,hp_v3_tp1,hp_v3_tp2,hp_v3_tp3,hp_v3_tp4,hp_v3_tp5,hp_v4_tp1,hp_v4_tp2,hp_v4_tp3,hp_v4_tp4,hp_v4_tp5,hp_v5_tp1,hp_v5_tp2,hp_v5_tp3,hp_v5_tp4,hp_v5_tp5,hp_v6_tp1,hp_v6_tp2,hp_v6_tp3,hp_v6_tp4,hp_v6_tp5,hp_v7_tp1,hp_v7_tp2,hp_v7_tp3,hp_v7_tp4,hp_v8_tp1,hp_v8_tp2,hp_v8_tp3,hp_v8_tp4,hp_v8_tp5,lp_v1_tp1,lp_v1_tp2,lp_v1_tp3,lp_v1_tp4,lp_v1_tp5,lp_v2_tp2,lp_v2_tp3,lp_v2_tp4,lp_v2_tp5,lp_v3_tp1,lp_v3_tp2,lp_v3_tp3,lp_v3_tp4,lp_v3_tp5,lp_v4_tp1,lp_v4_tp2,lp_v4_tp3,lp_v4_tp4,lp_v4_tp5,lp_v5_tp1,lp_v5_tp2,lp_v5_tp3,lp_v5_tp4,lp_v5_tp5,lp_v6_tp1,lp_v6_tp2,lp_v6_tp3,lp_v6_tp4,lp_v6_tp5,lp_v7_tp1,lp_v7_tp2,lp_v7_tp3,lp_v7_tp4,lp_v7_tp5,lp_v8_tp1,lp_v8_tp2,lp_v8_tp3,lp_v8_tp4,lp_v8_tp5
MAR04358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
